name,url
آمنة,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A2%D9%85%D9%86%D8%A9_original.wav
أجوان,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A3%D8%AC%D9%88%D8%A7%D9%86_original.wav
أحلام,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A3%D8%AD%D9%84%D8%A7%D9%85_original.wav
أحمد,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A3%D8%AD%D9%85%D8%AF_original.wav
أدهم,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A3%D8%AF%D9%87%D9%85_original.wav
أسر,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A3%D8%B3%D8%B1_original.wav
أسماء,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A3%D8%B3%D9%85%D8%A7%D8%A1.wav
أسمى,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A3%D8%B3%D9%85%D9%89_original.wav
أكرم,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A3%D9%83%D8%B1%D9%85.wav
ألفة,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A3%D9%84%D9%81%D8%A9_original.wav
أماني,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A3%D9%85%D8%A7%D9%86%D9%8A_original.wav
أمير,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A3%D9%85%D9%8A%D8%B1_original.wav
أمين,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A3%D9%85%D9%8A%D9%86.wav
أنور,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A3%D9%86%D9%88%D8%B1_original.wav
أيمن,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A3%D9%8A%D9%85%D9%86_original.wav
إسلام,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A5%D8%B3%D9%84%D8%A7%D9%85_original.wav
إلهام,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A5%D9%84%D9%87%D8%A7%D9%85_original.wav
إيمار,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A5%D9%8A%D9%85%D8%A7%D8%B1_original.wav
ابتسام,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A7%D8%A8%D8%AA%D8%B3%D8%A7%D9%85.wav
باسم,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A8%D8%A7%D8%B3%D9%85.wav
بتول,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A8%D8%AA%D9%88%D9%84_original.wav
بدر,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A8%D8%AF%D8%B1.wav
بديعة,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A8%D8%AF%D9%8A%D8%B9%D8%A9_original.wav
بهاء,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A8%D9%87%D8%A7%D8%A1.wav
بهجت,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A8%D9%87%D8%AC%D8%AA.wav
بيسان,https://senseiprod.github.io/audio-storage/processed_audios/%D8%A8%D9%8A%D8%B3%D8%A7%D9%86_original.wav
تامر,https://senseiprod.github.io/audio-storage/processed_audios/%D8%AA%D8%A7%D9%85%D8%B1_original.wav
ثامر,https://senseiprod.github.io/audio-storage/processed_audios/%D8%AB%D8%A7%D9%85%D8%B1_original.wav
جابر,https://senseiprod.github.io/audio-storage/processed_audios/%D8%AC%D8%A7%D8%A8%D8%B1.wav
جاسم,https://senseiprod.github.io/audio-storage/processed_audios/%D8%AC%D8%A7%D8%B3%D9%85_original.wav
جميلة,https://senseiprod.github.io/audio-storage/processed_audios/%D8%AC%D9%85%D9%8A%D9%84%D8%A9_original.wav
جواد,https://senseiprod.github.io/audio-storage/processed_audios/%D8%AC%D9%88%D8%A7%D8%AF_original.wav
حسام,https://senseiprod.github.io/audio-storage/processed_audios/%D8%AD%D8%B3%D8%A7%D9%85_original.wav
حسناء,https://senseiprod.github.io/audio-storage/processed_audios/%D8%AD%D8%B3%D9%86%D8%A7%D8%A1.wav
حمزة,https://senseiprod.github.io/audio-storage/processed_audios/%D8%AD%D9%85%D8%B2%D8%A9_original.wav
حمود,https://senseiprod.github.io/audio-storage/processed_audios/%D8%AD%D9%85%D9%88%D8%AF_original.wav
خديجة,https://senseiprod.github.io/audio-storage/processed_audios/%D8%AE%D8%AF%D9%8A%D8%AC%D8%A9_original.wav
خولة,https://senseiprod.github.io/audio-storage/processed_audios/%D8%AE%D9%88%D9%84%D8%A9.wav
رافي,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B1%D8%A7%D9%81%D9%8A_original.wav
رحمة,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B1%D8%AD%D9%85%D8%A9.wav
رضوان,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B1%D8%B6%D9%88%D8%A7%D9%86_original.wav
رهف,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B1%D9%87%D9%81_original.wav
زاهر,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B2%D8%A7%D9%87%D8%B1_original.wav
زكرياء,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B2%D9%83%D8%B1%D9%8A%D8%A7%D8%A1_original.wav
زكية,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B2%D9%83%D9%8A%D8%A9.wav
زياد,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B2%D9%8A%D8%A7%D8%AF_original.wav
زيد,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B2%D9%8A%D8%AF_original.wav
ساجي,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B3%D8%A7%D8%AC%D9%8A_original.wav
سامر,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B3%D8%A7%D9%85%D8%B1_original.wav
